State,County,City
Oregon,Washington,Portland
Alaska,Matanuska-Susitna,Palmer
Indiana,St.-Joseph,Mishawaka
Michigan,Oakland,Farmington
Michigan,Kent,Wyoming
North-Dakota,Burleigh,Menoken
North-Dakota,Ward,Minot-Afb
Massachusetts,Suffolk,Dorchester
New-Hampshire,Grafton,Lebanon
Maine,Kennebec,Augusta
Connecticut,New-London,Groton
Pennsylvania,Montgomery,Lansdale
South-Carolina,Charleston,Mount-Pleasant
California,Los-Angeles,Long-Beach
Connecticut,New-Haven,Waterbury
New-York,Queens,Flushing
New-York,Kings,Jamaica
Virginia,Fairfax,Fairfax
West-Virginia,Cabell,Barboursville
North-Carolina,Guilford,High-Point
Indiana,Lake,Hammond
Iowa,Black-Hawk,Cedar-Falls
Montana,Gallatin,Belgrade
Nebraska,Buffalo,Gibbon
Idaho,Canyon,Caldwell
Utah,Weber,Roy
Alaska,Kenai-Peninsula,Kenai
Missouri,St.-Louis,Florissant
Oklahoma,Oklahoma,Edmond
Oklahoma,Cleveland,Oklahoma-City
Texas,Dallas,Irving
Utah,Utah,Orem
North-Carolina,Forsyth,Kernersville
New-Hampshire,Strafford,Rochester
Maine,Androscoggin,Auburn
New-Jersey,Essex,East-Orange
Virginia,Prince-William,Manassas
Maryland,Prince-George's,Bowie
Maryland,Montgomery,Rockville
Florida,Broward,Hollywood
Florida,Palm-Beach,Boca-Raton
Florida,Hillsborough,Riverview
Kentucky,Warren,Smiths-Grove
North-Dakota,Grand-Forks,Grand-Forks-Afb
Ohio,Summit,Cuyahoga-Falls
Michigan,Genesee,Grand-Blanc
Minnesota,Anoka,Anoka
California,San-Diego,Chula-Vista
Illinois,Cook,Des-Plaines
Missouri,Greene,Republic
Texas,Tarrant,Arlington
Colorado,Arapahoe,Englewood
New-Mexico,Santa-Fe,Edgewood
Massachusetts,Middlesex,Lowell
District-of-Columbia,District-of-Columbia,Naval-Anacost-Annex
Maryland,Anne-Arundel,Glen-Burnie
North-Carolina,Cumberland,Hope-Mills
Florida,Miami-Dade,Hialeah
Alabama,Jefferson,Bessemer
Tennessee,Rutherford,Smyrna
Tennessee,Knox,Farragut
Mississippi,DeSoto,Southaven
Mississippi,Harrison,Biloxi
Michigan,Wayne,Dearborn
California,Riverside,Corona
Massachusetts,Worcester,Leominster
Massachusetts,Essex,Lawrence
Rhode-Island,Bristol,Barrington
New-Hampshire,Hillsborough,Nashua
Vermont,Chittenden,Essex-Junction
New-Jersey,Middlesex,New-Brunswick
Delaware,Kent,Smyrna
Oklahoma,Canadian,Mustang
Wyoming,Natrona,Evansville
Utah,Salt-Lake,West-Valley-City
Arizona,Maricopa,Mesa
Nevada,Washoe,Sparks
Rhode-Island,Providence,Pawtucket
Montana,Flathead,Columbia-Falls
Illinois,Will,Plainfield
Arkansas,Pulaski,North-Little-Rock
Colorado,Adams,Brighton
Wyoming,Sweetwater,Green-River
Idaho,Bannock,Inkom
Ohio,Hamilton,Harrison
Indiana,Marion,Camby
Iowa,Linn,Marion
South-Dakota,Brown,Groton
North-Dakota,Cass,West-Fargo
California,Orange,Santa-Ana
Massachusetts,Norfolk,Brookline
Rhode-Island,Kent,Coventry
Vermont,Washington,Montpelier
New-Jersey,Hudson,Union-City
Virginia,Henrico,Richmond
West-Virginia,Monongalia,Fairview
Georgia,Fulton,Alpharetta
Montana,Cascade,Cascade
Nebraska,Hall,Wood-River
Louisiana,Jefferson,Kenner
Oregon,Marion,Woodburn
Michigan,Macomb,Sterling-Heights
Alabama,Baldwin,Fairhope
Tennessee,Shelby,Cordova
Indiana,Hamilton,Fishers
Iowa,Polk,Ankeny
Minnesota,Dakota,Burnsville
Kansas,Shawnee,Berryton
Louisiana,Caddo,Keithville
Texas,Harris,Katy
Utah,Washington,Washington
Connecticut,Hartford,New-Britain
Connecticut,Fairfield,Stamford
New-York,Suffolk,Huntington-Station
Virginia,Loudoun,Leesburg
Washington,King,Kent
Alabama,Mobile,Theodore
Wisconsin,Brown,De-Pere
South-Dakota,Minnehaha,Brandon
Missouri,Jackson,Independence
Nebraska,Sarpy,Papillion
Wyoming,Laramie,Carpenter
Washington,Pierce,Puyallup
New-Hampshire,Rockingham,Salem
New-Hampshire,Merrimack,Hooksett
Vermont,Franklin,Swanton
South-Carolina,Horry,Conway
Georgia,DeKalb,Decatur
Indiana,Allen,New-Haven
Wisconsin,Racine,Burlington
Colorado,Jefferson,Arvada
Idaho,Bonneville,Iona
Maine,Penobscot,Orono
Delaware,New-Castle,Newark
Ohio,Cuyahoga,Lakewood
Illinois,DuPage,Aurora
Arizona,Pinal,Casa-Grande
Hawaii,Hawaii,Kailua-Kona
Puerto-Rico,Ponce,Coto-Laurel
Missouri,St.-Charles,O'Fallon
Kansas,Sedgwick,Derby
Tennessee,Davidson,Antioch
Minnesota,Washington,Cottage-Grove
Washington,Clark,Battle-Ground
North-Carolina,Wake,Cary
Minnesota,Hennepin,Eden-Prairie
Kansas,Johnson,Olathe
Hawaii,Maui,Kahului
Alabama,Madison,Madison
Tennessee,Hamilton,Hixson
Oregon,Lane,Springfield
Illinois,Lake,Round-Lake
Idaho,Kootenai,Post-Falls
Nevada,Lyon,Dayton
South-Carolina,Spartanburg,Inman
Georgia,Cobb,Kennesaw
Wisconsin,Dane,Sun-Prairie
Alaska,Anchorage,Eagle-River
Georgia,Chatham,Pooler
Kentucky,Boone,Burlington
Kentucky,Kenton,Covington
Rhode-Island,Newport,Portsmouth
Vermont,Windsor,Springfield
Nebraska,Douglas,Elkhorn
Texas,Bexar,Converse
Arizona,Pima,Marana
New-Mexico,Bernalillo,Tijeras
Pennsylvania,Delaware,Havertown
Idaho,Ada,Meridian
Oregon,Multnomah,Gresham
South-Dakota,Brookings,Volga
South-Carolina,Greenville,Simpsonville
Iowa,Johnson,Coralville
Wisconsin,Milwaukee,Oak-Creek
Vermont,Rutland,Brandon
New-Jersey,Monmouth,Englishtown
Pennsylvania,Allegheny,Coraopolis
Pennsylvania,Bucks,Bensalem
Wyoming,Fremont,Lander
California,San-Bernardino,Fontana
Hawaii,Kauai,Lihue
Connecticut,Litchfield,New-Milford
New-Mexico,Doña-Ana,Anthony
Florida,Orange,Apopka
Alabama,Montgomery,Pike-Road
Maryland,Howard,Ellicott-City
Georgia,Gwinnett,Buford
Mississippi,Jackson,Moss-Point
Oklahoma,Tulsa,Broken-Arrow
Colorado,El-Paso,Fountain
Hawaii,Honolulu,Ewa-Beach
Washington,Snohomish,Lynnwood
Kentucky,Jefferson,Prospect
Montana,Yellowstone,Laurel
New-Jersey,Bergen,Teaneck
Delaware,Sussex,Lewes
Maryland,Baltimore,Parkville
Wisconsin,Waukesha,Brookfield
South-Dakota,Lincoln,Harrisburg
Arkansas,Benton,Bentonville
Arkansas,Sebastian,Greenwood
Oklahoma,Comanche,Fort-Sill
Texas,Travis,Pflugerville
Arizona,Yavapai,Prescott-Valley
Alaska,Fairbanks-North-Star,North-Pole
West-Virginia,Kanawha,Saint-Albans
Wyoming,Campbell,Wright
New-Mexico,Sandoval,Bernalillo
New-Mexico,San-Juan,Bloomfield
Washington,Spokane,Cheney
Oregon,Clackamas,Oregon-City
Ohio,Franklin,Dublin
Missouri,Clay,Liberty
Nebraska,Lancaster,Waverly
Louisiana,East-Baton-Rouge,Zachary
Nevada,Elko,Spring-Creek
North-Dakota,Williams,Tioga
Arkansas,Faulkner,Greenbrier
Arizona,Yuma,San-Luis
South-Dakota,Pennington,Box-Elder
Maine,Cumberland,South-Portland
North-Carolina,Mecklenburg,Huntersville
West-Virginia,Wood,Vienna
South-Carolina,Richland,Irmo
Mississippi,Hinds,Clinton
Ohio,Montgomery,Miamisburg
Kansas,Wyandotte,Bonner-Springs
Kansas,Douglas,Eudora
Alaska,Juneau,Douglas
Montana,Missoula,Lolo
Maine,York,Saco
Rhode-Island,Washington,Westerly
West-Virginia,Berkeley,Hedgesville
Mississippi,Rankin,Pearl
Iowa,Scott,Bettendorf
Utah,Davis,Clearfield
Colorado,Jefferson,Littleton
Colorado,Arapahoe,Littleton
Texas,Tarrant,Keller
Kansas,Johnson,Shawnee
Nebraska,Lancaster,Hickman
California,Los-Angeles,Whittier
Oregon,Marion,Silverton
Washington,Pierce,Lakewood
Florida,Broward,Pompano-Beach
Indiana,Hamilton,Noblesville
Iowa,Polk,West-Des-Moines
New-York,Suffolk,Brentwood
California,San-Bernardino,Ontario
Massachusetts,Essex,Haverhill
New-Hampshire,Grafton,Plymouth
Maine,Kennebec,Gardiner
Connecticut,New-Haven,Hamden
New-Jersey,Monmouth,Howell
North-Carolina,Wake,Apex
South-Carolina,Greenville,Greer
Georgia,Fulton,Roswell
Florida,Palm-Beach,Lake-Worth
Michigan,Macomb,Clinton-Township
Iowa,Black-Hawk,Evansdale
Missouri,St.-Charles,Saint-Peters
Missouri,Jackson,Lees-Summit
Nevada,Clark,North-Las-Vegas
Kansas,Shawnee,Tecumseh
New-Mexico,San-Juan,Aztec
California,Orange,Irvine
West-Virginia,Berkeley,Inwood
Rhode-Island,Providence,Cranston
Connecticut,Fairfield,Norwalk
Virginia,Loudoun,Sterling
Maryland,Montgomery,Gaithersburg
Mississippi,Jackson,Pascagoula
Kentucky,Warren,Alvaton
Michigan,Oakland,Troy
North-Dakota,Grand-Forks,Thompson
North-Dakota,Ward,Burlington
Florida,Orange,Winter-Park
Florida,Hillsborough,Brandon
Alabama,Mobile,Semmes
Iowa,Linn,Hiawatha
Wisconsin,Racine,Waterford
Minnesota,Anoka,Andover
Alaska,Fairbanks-North-Star,Fort-Wainwright
Arkansas,Washington,Prairie-Grove
Colorado,Adams,Commerce-City
New-York,Queens,Astoria
Maryland,Baltimore,Owings-Mills
Virginia,Henrico,Glen-Allen
North-Carolina,Cumberland,Fort-Bragg
South-Carolina,Spartanburg,Boiling-Springs
South-Carolina,Charleston,North-Charleston
Ohio,Summit,Barberton
Indiana,Marion,Beech-Grove
Iowa,Scott,Eldridge
West-Virginia,Kanawha,South-Charleston
Illinois,DuPage,Wheaton
Wyoming,Campbell,Rozet
Idaho,Kootenai,Hayden
Utah,Salt-Lake,West-Jordan
Puerto-Rico,Ponce,Mercedita
New-Hampshire,Rockingham,Londonderry
Nebraska,Buffalo,Ravenna
Texas,Harris,Spring
Wyoming,Fremont,Dubois
Idaho,Bannock,Mccammon
Arizona,Maricopa,Glendale
Alabama,Jefferson,Trussville
Iowa,Johnson,North-Liberty
Vermont,Chittenden,South-Burlington
South-Carolina,Richland,Blythewood
Georgia,DeKalb,Stone-Mountain
Arkansas,Faulkner,Vilonia
New-Mexico,Doña-Ana,Sunland-Park
Pennsylvania,Allegheny,Mckeesport
Maryland,Prince-George's,Upper-Marlboro
North-Dakota,Burleigh,Baldwin
Indiana,St.-Joseph,Granger
Kentucky,Kenton,Independence
Ohio,Hamilton,Cleves
South-Dakota,Brookings,Elkton
Nebraska,Sarpy,Omaha
Wyoming,Sweetwater,Farson
Arizona,Yuma,Somerton
Pennsylvania,Montgomery,Pottstown
Virginia,Fairfax,Springfield
Hawaii,Kauai,Kalaheo
Oregon,Clackamas,Lake-Oswego
Mississippi,Hinds,Byram
Kentucky,Boone,Union
Missouri,Greene,Willard
Arkansas,Benton,Bella-Vista
Texas,Dallas,Garland
Texas,Travis,Del-Valle
Delaware,Sussex,Seaford
North-Carolina,Mecklenburg,Matthews
Alabama,Baldwin,Foley
Mississippi,DeSoto,Hernando
Michigan,Wayne,Livonia
Minnesota,Dakota,Lakeville
Rhode-Island,Bristol,Warren
Connecticut,Hartford,West-Hartford
Illinois,Will,Bolingbrook
Arkansas,Pulaski,Jacksonville
Colorado,El-Paso,Peyton
California,Riverside,Moreno-Valley
Washington,Snohomish,Bothell
Georgia,Cobb,Smyrna
Alaska,Matanuska-Susitna,Big-Lake
New-Jersey,Hudson,Bayonne
Delaware,New-Castle,New-Castle
South-Dakota,Pennington,Hill-City
Nebraska,Hall,Doniphan
Louisiana,Jefferson,Gretna
Arizona,Pinal,Maricopa
Washington,King,Renton
Maine,Penobscot,Brewer
Vermont,Washington,Northfield
Montana,Missoula,Clinton
Tennessee,Rutherford,La-Vergne
Mississippi,Rankin,Florence
Massachusetts,Middlesex,Somerville
Rhode-Island,Newport,Middletown
New-Hampshire,Hillsborough,Merrimack
Montana,Cascade,Belt
Louisiana,East-Baton-Rouge,Baker
Oklahoma,Oklahoma,Choctaw
Alabama,Montgomery,Hope-Hull
Illinois,Cook,Cicero
Missouri,Clay,Excelsior-Springs
Louisiana,St.-Tammany,Mandeville
Oklahoma,Comanche,Elgin
Idaho,Canyon,Middleton
Georgia,Chatham,Port-Wentworth
Florida,Miami-Dade,Homestead
California,San-Diego,Oceanside
Indiana,Allen,Leo
Minnesota,Hennepin,Hopkins
North-Dakota,Cass,Horace
Massachusetts,Suffolk,Dorchester-Center
New-Hampshire,Merrimack,Suncook
Maine,York,Sanford
Arkansas,Sebastian,Lavaca
Wyoming,Natrona,Mills
Idaho,Ada,Kuna
Utah,Utah,Lehi
Georgia,Gwinnett,Snellville
Hawaii,Maui,Kihei
Hawaii,Honolulu,Waipahu
Alaska,Anchorage,Jber
Rhode-Island,Kent,West-Warwick
Illinois,Lake,Barrington
Kansas,Sedgwick,Haysville
Nebraska,Douglas,Bennington
Oregon,Multnomah,Troutdale
Indiana,Lake,Crown-Point
Michigan,Genesee,Fenton
Wisconsin,Waukesha,New-Berlin
Tennessee,Knox,Powell
Ohio,Cuyahoga,Strongsville
Connecticut,Litchfield,Watertown
Pennsylvania,Delaware,Media
Delaware,Kent,Camden-Wyoming
Illinois,Kane,Saint-Charles
Utah,Davis,Bountiful
New-Mexico,Santa-Fe,Glorieta
Washington,Clark,Camas
Washington,Spokane,Greenacres
Alaska,Kenai-Peninsula,Homer
Massachusetts,Norfolk,Braintree
North-Carolina,Forsyth,Clemmons
Missouri,St.-Louis,Ballwin
Arizona,Yavapai,Cottonwood
Minnesota,Washington,Stillwater
New-Jersey,Middlesex,Piscataway
Alabama,Madison,Harvest
North-Dakota,Williams,Ray
Oklahoma,Cleveland,Noble
Nevada,Elko,West-Wendover
Kansas,Douglas,Baldwin-City
Texas,Bexar,Helotes
Virginia,Prince-William,Gainesville
Maryland,Howard,Laurel
West-Virginia,Cabell,Milton
West-Virginia,Wood,Williamstown
Massachusetts,Worcester,Fitchburg
New-Hampshire,Strafford,Durham
Vermont,Windsor,Chester
Vermont,Franklin,Enosburg-Falls
Tennessee,Davidson,Madison
Kentucky,Jefferson,Fairdale
Montana,Yellowstone,Shepherd
Montana,Gallatin,Manhattan
Louisiana,Caddo,Vivian
Nevada,Washoe,Sun-Valley
Utah,Weber,Hooper
Arizona,Pima,Green-Valley
Oregon,Washington,Hillsboro
Maine,Androscoggin,Sabattus
New-Jersey,Essex,Irvington
West-Virginia,Monongalia,Granville
Wisconsin,Dane,Middleton
South-Dakota,Brown,Bath
Utah,Washington,Hurricane
Idaho,Bonneville,Ucon
Mississippi,Harrison,Long-Beach
South-Dakota,Lincoln,Tea
Hawaii,Hawaii,Keaau
Connecticut,New-London,New-London
New-Jersey,Bergen,Fort-Lee
South-Carolina,Horry,Murrells-Inlet
Maine,Cumberland,Brunswick
Vermont,Rutland,Castleton
North-Carolina,Guilford,Jamestown
Nevada,Lyon,Yerington
Ohio,Franklin,Grove-City
Michigan,Kent,Rockford
Tennessee,Hamilton,Ooltewah
Pennsylvania,Bucks,Morrisville
Ohio,Montgomery,Englewood
Wisconsin,Brown,Pulaski
South-Dakota,Minnehaha,Hartford
Montana,Flathead,Whitefish
Oklahoma,Tulsa,Owasso
Wisconsin,Milwaukee,Franklin
Oregon,Lane,Cottage-Grove
Oklahoma,Canadian,El-Reno
Wyoming,Laramie,Pine-Bluffs
New-Mexico,Bernalillo,Sandia-Park
Rhode-Island,Washington,Wakefield
Maryland,Anne-Arundel,Pasadena
Tennessee,Shelby,Collierville
New-Mexico,Sandoval,Corrales
Texas,Harris,Cypress
Utah,Davis,Kaysville
Illinois,Kane,Carpentersville
Wyoming,Campbell,Recluse
Idaho,Bannock,Downey
Kansas,Douglas,Lecompton
New-Mexico,Santa-Fe,Santa-Cruz
California,San-Bernardino,Rancho-Cucamonga
Tennessee,Rutherford,Christiana
Tennessee,Davidson,Hermitage
Wisconsin,Milwaukee,South-Milwaukee
Minnesota,Dakota,Farmington
California,Los-Angeles,Lancaster
New-Jersey,Essex,Bloomfield
Virginia,Prince-William,Dumfries
North-Carolina,Wake,Wake-Forest
Florida,Broward,Coral-Springs
Florida,Miami-Dade,Miami-Beach
Tennessee,Knox,Corryton
Kentucky,Boone,Hebron
Iowa,Johnson,Solon
Illinois,DuPage,Downers-Grove
Missouri,Clay,Kearney
Arizona,Maricopa,Scottsdale
California,Orange,Huntington-Beach
Virginia,Fairfax,Falls-Church
Maine,Androscoggin,Turner
Virginia,Loudoun,Chantilly
Indiana,Allen,Huntertown
Michigan,Oakland,Southfield
Florida,Palm-Beach,Boynton-Beach
Wisconsin,Racine,Union-Grove
Washington,Spokane,Veradale
Louisiana,Jefferson,Marrero
Nevada,Elko,Carlin
West-Virginia,Monongalia,Maidsville
South-Carolina,Horry,Little-River
Georgia,Gwinnett,Norcross
Michigan,Wayne,Canton
New-Jersey,Monmouth,Asbury-Park
Massachusetts,Worcester,Shrewsbury
Rhode-Island,Kent,East-Greenwich
Maine,Kennebec,Oakland
Vermont,Windsor,Windsor
South-Carolina,Greenville,Taylors
Georgia,Cobb,Powder-Springs
Montana,Cascade,Vaughn
Missouri,St.-Charles,Wentzville
Massachusetts,Middlesex,Framingham
Maine,York,Kennebunk
Delaware,Kent,Felton
Utah,Washington,Ivins
Nevada,Washoe,Incline-Village
Florida,Hillsborough,Plant-City
Minnesota,Anoka,Circle-Pines
California,San-Diego,Escondido
Hawaii,Honolulu,Mililani
Washington,King,Bellevue
Alaska,Matanuska-Susitna,Willow
North-Carolina,Cumberland,Stedman
Oklahoma,Canadian,Piedmont
New-Mexico,Sandoval,Cuba
Nevada,Clark,Mesquite
Nevada,Lyon,Silver-Springs
Alabama,Baldwin,Bay-Minette
Tennessee,Hamilton,Soddy-Daisy
Mississippi,DeSoto,Horn-Lake
Mississippi,Harrison,Pass-Christian
Michigan,Macomb,Macomb
Mississippi,Hinds,Terry
Iowa,Scott,Le-Claire
Illinois,Cook,Arlington-Heights
Nebraska,Buffalo,Elm-Creek
Texas,Dallas,Grand-Prairie
Arizona,Yavapai,Sedona
Maine,Penobscot,Old-Town
